bloco_id,USER_FINISHED,DATE_FINISHED,itens,n_items,total_done,duracao_bloco,delta_tempo
10107129ARAUJOJ_2025-04-06_G02,10107129ARAUJOJ,2025-04-06,122962,1,20,0,1346.0
10107129ARAUJOJ_2025-04-07_G02,10107129ARAUJOJ,2025-04-07,181280,1,1,0,127.0
10107129ARAUJOJ_2025-04-07_G03,10107129ARAUJOJ,2025-04-07,180026,1,6,0,1178.0
10107129ARAUJOJ_2025-04-07_G04,10107129ARAUJOJ,2025-04-07,120272,1,2,0,862.0
10107129ARAUJOJ_2025-04-07_G05,10107129ARAUJOJ,2025-04-07,122985,1,18,0,510.0
10107129ARAUJOJ_2025-04-07_G06,10107129ARAUJOJ,2025-04-07,121928,1,6,0,67.0
10107129ARAUJOJ_2025-04-07_G07,10107129ARAUJOJ,2025-04-07,121760,1,6,0,112.0
10107129ARAUJOJ_2025-04-07_G08,10107129ARAUJOJ,2025-04-07,124248,1,6,0,211.0
10107129ARAUJOJ_2025-04-07_G09,10107129ARAUJOJ,2025-04-07,124248,1,20,0,361.0
10107129ARAUJOJ_2025-04-07_G10,10107129ARAUJOJ,2025-04-07,123561,1,4,0,83.0
10107129ARAUJOJ_2025-04-07_G11,10107129ARAUJOJ,2025-04-07,123343,1,12,0,613.0
10107129ARAUJOJ_2025-04-07_G12,10107129ARAUJOJ,2025-04-07,123344,1,2,0,159.0
10107129ARAUJOJ_2025-04-07_G13,10107129ARAUJOJ,2025-04-07,122985,1,2,0,139.0
10107129ARAUJOJ_2025-04-07_G14,10107129ARAUJOJ,2025-04-07,122985,1,4,0,157.0
10107129ARAUJOJ_2025-04-07_G15,10107129ARAUJOJ,2025-04-07,124247,1,4,0,106.0
10107129ARAUJOJ_2025-04-07_G16,10107129ARAUJOJ,2025-04-07,120271,1,4,0,140.0
10107129ARAUJOJ_2025-04-07_G17,10107129ARAUJOJ,2025-04-07,123561,1,16,0,362.0
10107129ARAUJOJ_2025-04-07_G18,10107129ARAUJOJ,2025-04-07,122983,1,4,0,60.0
10107129ARAUJOJ_2025-04-07_G19,10107129ARAUJOJ,2025-04-07,122983,1,2,0,100.0
10107129ARAUJOJ_2025-04-07_G21,10107129ARAUJOJ,2025-04-07,123153,1,200,0,3008.0
10107129ARAUJOJ_2025-04-07_G22,10107129ARAUJOJ,2025-04-07,123345,1,200,0,61.0
10107129ARAUJOJ_2025-04-07_G23,10107129ARAUJOJ,2025-04-07,123947,1,100,0,2011.0
10107129ARAUJOJ_2025-04-07_G24,10107129ARAUJOJ,2025-04-07,"120339, 122673",2,22,18,954.0
10107129ARAUJOJ_2025-04-10_G02,10107129ARAUJOJ,2025-04-10,121760,1,4,0,88.0
10107129ARAUJOJ_2025-04-10_G03,10107129ARAUJOJ,2025-04-10,123153,1,4,0,215.0
